Journal	Score1	Score2	IF2	IF5	NoOfScores	Citations
The Journal of Cell Biology	6	 	9.921	10.123	1	56
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	94
Current Biology	6	6	10.026	11.436	2	82
Genes To Cells	6	 	2.889	3.214	1	73
Plant Physiology	6	6	6.451	7.016	2	470
Nature	8	8	36.104	35.248	2	452
Current Biology	8	 	10.026	11.436	1	50
Nature	8	6	36.104	35.248	2	581
Nature	10	8	36.104	35.248	2	99
Journal of the American Chemical Society	6	 	9.023	8.981	1	78
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	81
International Journal of Developmental Neuroscience	6	 	1.938	2.565	1	339
Neuron	8	 	14.027	14.927	1	122
Biophysical Journal	10	 	4.218	4.692	1	33
Archives of Insect Biochemistry and Physiology	6	 	1.564	1.776	1	1
Proceedings of the National Academy of Sciences of the United States of America	6	 	9.771	10.591	1	127
Nature	8	8	36.104	35.248	2	136
Neuron	6	6	14.027	14.927	2	28
Science (New York)	8	8	31.377	31.777	2	483
Cell	10	10	32.406	34.931	2	799
Cell Metabolism	8	 	18.207	20.13	1	47
Science (New York)	8	 	31.377	31.777	1	189
The Journal of Experimental Medicine	10	 	14.776	15.7	1	179
Nature	8	8	36.104	35.248	2	120
Gastroenterology	6	8	12.032	12.403	2	53
Nature Genetics	6	 	36.377	32.701	1	131
Molecular Pharmacology	6	 	4.725	4.688	1	29
The Plant Cell	8	 	9.396	10.648	1	17
Cell	8	8	32.406	34.931	2	68
Journal of the American Chemical Society	6	 	9.023	8.981	1	13
Proceedings of the National Academy of Sciences of the United States of America	6	6	9.771	10.591	2	16
Hematology	6	 	1.336	1.438	1	10
Protoplasma	8	 	1.488	1.677	1	35
Nature Biotechnology	6	6	31.09	29.065	2	310
Cell	6	6	32.406	34.931	2	115
The Journal of Cell Biology	6	 	9.921	10.123	1	59
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	176
Proceedings of the National Academy of Sciences of the United States of America	8	 	9.771	10.591	1	74
Critical Care	8	 	4.595	4.963	1	259
Science (New York)	10	6	31.377	31.777	2	80
The EMBO Journal	8	 	10.124	9.369	1	57
Nucleic Acids Research	6	8	7.836	7.314	2	156
Cell	6	 	32.406	34.931	1	171
The Journal of Neuroscience	6	 	7.271	8.068	1	60
Nature Neuroscience	8	6	14.191	16.19	2	49
Science (New York)	8	 	31.377	31.777	1	145
Developmental Biology	8	 	4.094	4.42	1	31
Proceedings of the National Academy of Sciences of the United States of America	8	8	9.771	10.591	2	48
The Biochemical Journal	6	 	5.016	4.592	1	35
Journal of the American Academy of Dermatology	6	 	4.274	4.161	1	32
Cell	8	6	32.406	34.931	2	159
Pediatric Dermatology	6	 	1.117	1.361	1	10
Nature Genetics	8	8	36.377	32.701	2	153
The Journal of Biological Chemistry	6	 	5.328	5.498	1	50
The Journal of Experimental Medicine	8	 	14.776	15.7	1	110
Immunity	8	 	24.221	22.133	1	68
Cancer Cell	8	8	26.925	28.438	2	87
Genome Research	6	 	13.588	11.971	1	34
Genetics	6	 	4.087	4.311	1	56
Biophysical Journal	6	 	4.218	4.692	1	38
Kidney International	8	 	6.105	5.51	1	37
The Journal of Cell Biology	6	 	9.921	10.123	1	111
Cerebral Cortex	8	 	6.844	7.2	1	93
Developmental Cell	8	8	13.946	14.24	2	116
The Journal of Experimental Medicine	8	 	14.776	15.7	1	217
