Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,80,68,Marina,July,2016,2003
SENIOR,110,37,Chinatown,October,2015,2003
JUVENILE,506,21,Richmond,July,2016,2010
ADULT,261,285,Main Library,December,2013,2003
JUVENILE,443,191,Ortega,July,2016,2013
JUVENILE,7,0,Presidio,July,2016,2014
JUVENILE,112,0,Ingleside,May,2016,2012
ADULT,0,0,Ortega,None,None,2016
ADULT,411,17,Chinatown,August,2013,2005
YOUNG ADULT,341,8,Richmond,May,2014,2004
ADULT,55,0,Chinatown,September,2013,2011
ADULT,0,0,Presidio,None,None,2015
ADULT,19,0,Main Library,December,2014,2011
ADULT,1,2,Main Library,December,2013,2013
ADULT,97,251,Noe Valley/Sally Brunn,June,2016,2010
ADULT,829,35,Merced,October,2015,2003
WELCOME,0,0,Main Library,None,None,2014
ADULT,222,60,Mission,November,2015,2003
YOUNG ADULT,28,4,Main Library,August,2011,2007
ADULT,2309,168,Excelsior,June,2016,2005
ADULT,23,20,Main Library,June,2016,2010
SENIOR,1768,44,Chinatown,July,2016,2003
WELCOME,1,1,Mission Bay,February,2016,2015
YOUNG ADULT,552,80,Visitacion Valley,June,2016,2008
STAFF,1079,211,Ortega,July,2016,2003
ADULT,18,10,Portola,August,2013,2011
ADULT,102,0,Main Library,July,2016,2011
ADULT,39,0,Mission,February,2014,2003
ADULT,277,58,Bernal Heights,July,2014,2007
SENIOR,935,27,Sunset,October,2015,2003
WELCOME,0,0,Main Library,None,None,2012
ADULT,6,0,Glen Park,May,2015,2009
WELCOME,0,0,Bayview/Linda Brooks-Burton,July,2009,2008
JUVENILE,3106,114,Sunset,July,2016,2008
ADULT,34,36,Main Library,July,2016,2014
ADULT,0,0,Main Library,October,2014,2014
SENIOR,66,5,Park,January,2015,2007
SENIOR,10,9,Main Library,January,2006,2003
ADULT,139,70,Anza,June,2016,2011
ADULT,18,0,Ingleside,September,2012,2012
YOUNG ADULT,42,4,Golden Gate Valley,November,2014,2009
ADULT,0,0,Main Library,None,None,2015
JUVENILE,0,0,Main Library,None,None,2012
JUVENILE,396,30,Marina,October,2013,2010
WELCOME,0,0,Main Library,None,None,2015
ADULT,117,242,Ortega,July,2016,2010
ADULT,37,48,Ortega,August,2013,2003
ADULT,21,9,Visitacion Valley,September,2015,2014
JUVENILE,5,0,Ocean View,November,2015,2015
SENIOR,1,0,Glen Park,April,2015,2015
ADULT,0,0,Main Library,None,None,2015
ADULT,7,10,Main Library,February,2015,2011
ADULT,0,0,Sunset,None,None,2013
ADULT,623,610,Sunset,September,2012,2003
JUVENILE,33,1,Ingleside,July,2016,2012
ADULT,3,0,Mission,June,2016,2016
ADULT,5,6,Main Library,October,2013,2011
JUVENILE,46,9,Main Library,October,2014,2011
ADULT,1,1,Mission Bay,August,2014,2013
SENIOR,97,3,Richmond,July,2016,2003
SENIOR,272,33,Bernal Heights,June,2015,2009
ADULT,222,6,Main Library,June,2016,2007
ADULT,34,0,Main Library,May,2010,2009
JUVENILE,419,55,Ocean View,July,2016,2013
JUVENILE,42,6,Richmond,July,2016,2016
ADULT,590,480,Main Library,July,2016,2006
ADULT,3,0,Glen Park,August,2014,2014
ADULT,59,0,Mission,October,2015,2014
SPECIAL,33,20,Library on Wheels,June,2016,2015
JUVENILE,8,0,Western Addition,February,2015,2014
ADULT,0,0,North Beach,None,None,2014
ADULT,6,0,Anza,March,2014,2013
ADULT,5,5,Golden Gate Valley,June,2016,2013
SENIOR,5,0,Mission,September,2015,2015
ADULT,17,0,Ingleside,September,2014,2014
ADULT,28,53,Main Library,March,2016,2005
ADULT,53,50,Excelsior,June,2016,2003
ADULT,88,79,Park,July,2016,2014
ADULT,1,0,Main Library,August,2014,2014
ADULT,11,16,Sunset,October,2013,2008
TEACHER CARD,106,0,Eureka Valley/Harvey Milk Memorial,July,2016,2015
ADULT,0,0,Sunset,None,None,2016
ADULT,18,17,Main Library,September,2015,2007
SENIOR,0,0,Portola,September,2010,2008
ADULT,0,0,Main Library,None,None,2016
ADULT,1,0,Mission,February,2013,2006
ADULT,9,15,Main Library,July,2015,2015
WELCOME,1,0,Main Library,February,2014,2010
ADULT,0,0,Main Library,None,None,2016
ADULT,45,49,West Portal,December,2014,2013
ADULT,14,3,Potrero,June,2016,2013
ADULT,172,39,West Portal,June,2015,2003
STAFF,16,0,Chinatown,January,2013,2011
SENIOR,6,1,Noe Valley/Sally Brunn,July,2015,2008
ADULT,0,0,Main Library,None,None,2015
ADULT,1,0,Richmond,December,2014,2011
ADULT,1,0,Presidio,August,2013,2009
SENIOR,124,1,Main Library,May,2016,2003
SENIOR,594,747,Marina,July,2016,2007
ADULT,0,0,Main Library,None,None,2012
SENIOR,20,2,Bernal Heights,October,2014,2003
JUVENILE,0,0,North Beach,None,None,2012
SENIOR,2,1,Main Library,March,2014,2013
ADULT,14,6,Eureka Valley/Harvey Milk Memorial,January,2015,2010
ADULT,421,148,Main Library,February,2016,2007
ADULT,1,0,Main Library,November,2015,2015
ADULT,40,11,Presidio,July,2015,2003
ADULT,0,0,Parkside,None,None,2013
ADULT,398,405,Excelsior,May,2016,2003
ADULT,1,1,Anza,July,2016,2016
JUVENILE,0,0,Excelsior,None,None,2016
YOUNG ADULT,0,0,Mission,None,None,2016
ADULT,34,75,Chinatown,May,2016,2009
JUVENILE,300,238,Mission,July,2016,2015
ADULT,112,31,Parkside,August,2014,2003
ADULT,33,0,Excelsior,December,2012,2012
ADULT,21,16,Main Library,April,2016,2015
ADULT,13,0,Unknown,December,2015,2013
ADULT,0,0,Sunset,None,None,2013
ADULT,2613,1442,Main Library,July,2016,2003
ADULT,38,20,Main Library,March,2016,2012
ADULT,30,26,Mission,January,2015,2013
JUVENILE,1248,1218,Merced,July,2016,2008
ADULT,182,229,Sunset,January,2015,2005
ADULT,2,1,Parkside,October,2014,2008
ADULT,14,2,North Beach,July,2016,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Main Library,None,None,2012
ADULT,494,436,Parkside,May,2016,2010
ADULT,84,17,Eureka Valley/Harvey Milk Memorial,July,2016,2003
ADULT,2,0,Main Library,April,2015,2015
ADULT,40,14,Eureka Valley/Harvey Milk Memorial,February,2015,2009
ADULT,205,45,Main Library,March,2013,2008
ADULT,6,14,Main Library,July,2016,2015
WELCOME,7,0,Main Library,June,2015,2008
ADULT,0,0,Main Library,None,None,2014
SENIOR,151,65,Bernal Heights,July,2016,2011
ADULT,13,33,Main Library,November,2014,2013
ADULT,18,0,Bernal Heights,November,2014,2014
JUVENILE,137,0,Mission,January,2016,2014
JUVENILE,8,1,Bayview/Linda Brooks-Burton,May,2015,2014
ADULT,4,0,Ingleside,November,2015,2014
YOUNG ADULT,46,1,West Portal,November,2014,2007
YOUNG ADULT,12,0,Visitacion Valley,August,2014,2014
ADULT,67,3,Bayview/Linda Brooks-Burton,March,2015,2010
ADULT,0,0,Glen Park,None,None,2014
ADULT,4,0,Main Library,January,2014,2013
ADULT,292,37,Chinatown,November,2015,2007
SPECIAL,5,0,Library on Wheels,November,2013,2013
ADULT,1,1,Bernal Heights,October,2015,2015
ADULT,36,0,Main Library,October,2013,2009
ADULT,723,161,Richmond,July,2014,2003
ADULT,19,1,West Portal,August,2013,2009
ADULT,73,7,Bernal Heights,February,2015,2008
ADULT,106,3,Excelsior,September,2013,2012
ADULT,102,15,Marina,September,2015,2003
ADULT,76,25,West Portal,February,2015,2010
VISITOR,16,0,Mission Bay,July,2016,2016
ADULT,0,0,Excelsior,None,None,2014
ADULT,1,0,Bayview/Linda Brooks-Burton,March,2014,2010
JUVENILE,50,10,Chinatown,April,2016,2012
ADULT,1999,2884,Main Library,July,2016,2006
ADULT,3,0,Western Addition,June,2013,2013
SENIOR,191,34,Park,June,2016,2003
JUVENILE,61,19,Bernal Heights,February,2016,2012
ADULT,5,2,Main Library,August,2013,2004
ADULT,194,18,Noe Valley/Sally Brunn,September,2015,2011
ADULT,2,2,Main Library,November,2015,2015
ADULT,100,49,North Beach,July,2016,2003
ADULT,25,33,Ingleside,August,2015,2003
ADULT,1,0,Sunset,November,2015,2015
SENIOR,2,0,Merced,June,2013,2013
ADULT,2,0,Main Library,June,2012,2011
ADULT,29,14,Main Library,June,2016,2010
ADULT,69,111,Mission,February,2015,2012
ADULT,4,0,Ingleside,September,2015,2014
ADULT,48,39,Ortega,July,2016,2014
ADULT,18,19,Main Library,February,2013,2012
ADULT,14,22,Mission,April,2016,2014
SENIOR,379,200,Noe Valley/Sally Brunn,July,2016,2003
WELCOME,0,0,Mission,None,None,2013
ADULT,10,5,Mission,January,2014,2009
ADULT,11,22,Ingleside,September,2015,2013
ADULT,77,0,Excelsior,March,2014,2008
SENIOR,0,0,Main Library,None,None,2014
ADULT,1,1,Main Library,March,2013,2013
ADULT,420,800,Main Library,July,2016,2003
SENIOR,1,1,Main Library,February,2013,2012
ADULT,0,0,Mission,None,None,2014
ADULT,0,0,Main Library,None,None,2012
ADULT,12,0,Merced,May,2016,2015
ADULT,5,6,Bernal Heights,July,2015,2015
ADULT,17,2,Main Library,June,2012,2003
JUVENILE,23,1,Main Library,May,2015,2014
JUVENILE,241,1,Mission,July,2016,2011
SENIOR,338,41,Richmond,June,2014,2005
SENIOR,16,3,Excelsior,January,2016,2011
ADULT,8,3,Mission,March,2009,2008
ADULT,5,0,Main Library,August,2014,2003
ADULT,0,0,Anza,None,None,2015
ADULT,0,0,Glen Park,None,None,2014
YOUNG ADULT,0,0,Western Addition,None,None,2015
ADULT,3,2,Main Library,December,2012,2012
JUVENILE,16,0,Visitacion Valley,December,2014,2014
ADULT,0,0,North Beach,None,None,2013
ADULT,56,9,Mission,September,2010,2003
ADULT,7,2,Noe Valley/Sally Brunn,March,2014,2009
ADULT,0,0,Sunset,None,None,2015
ADULT,0,0,Main Library,None,None,2014
ADULT,37,0,Merced,February,2015,2012
ADULT,1074,50,Main Library,November,2015,2010
SENIOR,0,0,Glen Park,None,None,2014
ADULT,5,15,Main Library,June,2013,2013
ADULT,13,12,Parkside,April,2016,2012
ADULT,109,53,Main Library,January,2016,2003
JUVENILE,0,0,Ortega,None,None,2014
ADULT,288,401,Main Library,March,2015,2003
ADULT,124,76,Richmond,May,2015,2009
ADULT,170,55,Main Library,May,2016,2005
WELCOME,0,0,Main Library,None,None,2014
YOUNG ADULT,18,0,Portola,April,2015,2013
ADULT,14,8,Sunset,January,2015,2014
ADULT,382,619,Excelsior,July,2016,2003
SENIOR,369,3,Richmond,July,2016,2010
ADULT,0,0,Main Library,None,None,2012
ADULT,9,3,Parkside,July,2013,2012
ADULT,8,0,Main Library,December,2014,2011
ADULT,2,0,Main Library,July,2013,2013
YOUNG ADULT,1106,6,Ortega,April,2015,2003
ADULT,3,0,Main Library,November,2012,2012
ADULT,14,2,Excelsior,November,2015,2006
ADULT,5,0,Presidio,August,2012,2012
ADULT,48,3,Main Library,May,2016,2003
ADULT,2,0,Glen Park,December,2013,2012
SENIOR,33,5,Main Library,December,2013,2003
ADULT,11,5,Anza,February,2009,2008
SENIOR,0,0,Main Library,None,None,2014
SENIOR,51,15,Mission,April,2016,2003
JUVENILE,282,20,Main Library,January,2016,2010
ADULT,171,75,Ortega,November,2015,2003
YOUNG ADULT,354,40,Sunset,September,2015,2009
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2016
WELCOME,1,2,Main Library,September,2014,2014
ADULT,17,20,Portola,March,2016,2015
ADULT,11,4,Golden Gate Valley,June,2014,2007
ADULT,0,0,Mission Bay,None,None,2014
ADULT,56,32,Marina,March,2016,2012
JUVENILE,6,0,Glen Park,May,2016,2016
ADULT,45,30,Main Library,April,2014,2011
SENIOR,0,0,Main Library,None,None,2015
SENIOR,68,4,Eureka Valley/Harvey Milk Memorial,August,2015,2003
ADULT,385,227,Sunset,July,2016,2007
ADULT,19,53,Chinatown,July,2016,2015
ADULT,0,0,Mission,None,None,2012
SENIOR,151,8,Merced,October,2015,2005
ADULT,108,135,Sunset,June,2016,2003
ADULT,55,19,Merced,July,2016,2004
JUVENILE,0,0,Excelsior,None,None,2014
JUVENILE,2419,122,Chinatown,July,2016,2006
ADULT,9,0,Glen Park,April,2012,2007
ADULT,2122,126,Sunset,July,2016,2003
ADULT,112,36,Main Library,May,2016,2009
JUVENILE,16,0,Excelsior,September,2014,2014
ADULT,32,8,Main Library,October,2015,2014
JUVENILE,81,154,Sunset,May,2016,2014
ADULT,16,0,Richmond,March,2014,2013
ADULT,0,0,Ingleside,None,None,2014
ADULT,0,0,Main Library,None,None,2013
ADULT,38,5,Main Library,December,2008,2004
ADULT,1,0,Western Addition,July,2014,2013
ADULT,13,12,Potrero,April,2016,2011
ADULT,162,136,Park,July,2016,2003
ADULT,47,6,Main Library,June,2015,2008
ADULT,118,36,Bernal Heights,July,2016,2003
ADULT,244,208,Mission Bay,July,2016,2003
ADULT,4,2,Richmond,July,2016,2015
ADULT,291,178,Main Library,January,2015,2009
ADULT,7,14,Main Library,July,2013,2012
ADULT,262,0,Main Library,July,2016,2014
ADULT,4,0,Eureka Valley/Harvey Milk Memorial,April,2016,2016
ADULT,453,161,Glen Park,July,2016,2003
ADULT,470,300,Chinatown,July,2016,2003
ADULT,320,30,Ortega,July,2015,2008
ADULT,55,36,Mission,May,2016,2003
YOUNG ADULT,46,35,Chinatown,July,2014,2006
JUVENILE,0,0,Bayview/Linda Brooks-Burton,None,None,2015
YOUNG ADULT,3,1,Mission,December,2015,2012
YOUNG ADULT,42,0,Marina,December,2013,2013
WELCOME,1,1,West Portal,September,2015,2015
ADULT,36,40,Eureka Valley/Harvey Milk Memorial,November,2013,2010
ADULT,96,11,Anza,June,2016,2007
ADULT,3,2,Mission,June,2015,2008
ADULT,35,6,Main Library,March,2015,2011
ADULT,9,6,Excelsior,May,2014,2003
JUVENILE,5,0,West Portal,September,2015,2015
ADULT,35,41,Portola,July,2016,2011
JUVENILE,1,0,Main Library,June,2015,2015
ADULT,0,0,Main Library,None,None,2013
ADULT,2,0,Mission Bay,April,2016,2016
ADULT,0,0,West Portal,None,None,2012
ADULT,20,20,West Portal,November,2009,2003
ADULT,21,15,Potrero,June,2016,2010
ADULT,34,0,Chinatown,April,2016,2015
ADULT,8,0,Merced,April,2016,2015
ADULT,6,6,Main Library,July,2011,2010
JUVENILE,0,0,Western Addition,None,None,2014
ADULT,0,0,Main Library,None,None,2015
ADULT,230,182,Anza,June,2016,2008
JUVENILE,261,59,Ingleside,May,2016,2014
ADULT,0,0,Ingleside,None,None,2016
YOUNG ADULT,6,0,Portola,July,2013,2013
ADULT,32,31,West Portal,December,2015,2012
JUVENILE,4,0,West Portal,February,2016,2015
ADULT,0,0,Main Library,None,None,2013
JUVENILE,69,15,Main Library,July,2016,2013
ADULT,10,0,Golden Gate Valley,June,2016,2014
YOUNG ADULT,0,0,Mission,None,None,2014
WELCOME,0,0,Main Library,None,None,2015
JUVENILE,39,0,Chinatown,June,2015,2012
WELCOME,2,1,Main Library,December,2012,2012
ADULT,20,5,Portola,May,2014,2014
ADULT,86,38,Main Library,February,2016,2003
ADULT,18,28,Main Library,August,2015,2013
WELCOME,3,0,Main Library,September,2014,2014
STAFF,1235,230,Main Library,July,2016,2003
SENIOR,0,0,Western Addition,None,None,2014
JUVENILE,30,0,West Portal,May,2016,2014
ADULT,146,34,Richmond,April,2015,2010
ADULT,0,0,Mission,None,None,2016
JUVENILE,414,36,Main Library,May,2016,2010
JUVENILE,129,7,Portola,October,2015,2013
ADULT,32,4,Main Library,September,2013,2003
ADULT,243,62,Potrero,July,2016,2003
ADULT,414,523,Main Library,June,2016,2011
ADULT,0,0,Main Library,None,None,2015
ADULT,23,20,Main Library,September,2014,2012
ADULT,571,30,Richmond,October,2014,2004
ADULT,3,0,Excelsior,October,2015,2014
ADULT,217,135,Richmond,January,2014,2003
ADULT,8,11,Potrero,May,2016,2013
ADULT,2,0,Main Library,March,2013,2013
ADULT,23,68,West Portal,July,2014,2007
ADULT,7,6,Eureka Valley/Harvey Milk Memorial,May,2015,2014
ADULT,0,0,Main Library,None,None,2014
ADULT,7,2,Main Library,February,2013,2012
SENIOR,94,168,Marina,May,2016,2005
ADULT,28,20,Richmond,November,2015,2009
SENIOR,35,1,Main Library,September,2014,2003
ADULT,9,9,Marina,February,2014,2010
ADULT,2,0,Main Library,March,2015,2015
JUVENILE,67,39,Mission Bay,July,2016,2011
ADULT,45,10,Ingleside,June,2016,2012
ADULT,8,0,Richmond,July,2016,2015
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2015
SENIOR,112,62,Richmond,July,2016,2003
ADULT,645,393,Richmond,July,2016,2003
ADULT,0,0,Richmond,None,None,2014
ADULT,5,5,Mission,July,2015,2014
ADULT,232,322,Main Library,July,2016,2012
ADULT,411,115,Glen Park,July,2016,2015
SENIOR,27,41,Main Library,November,2015,2006
YOUNG ADULT,127,16,Main Library,June,2014,2012
ADULT,6,0,Main Library,July,2015,2008
ADULT,50,0,West Portal,April,2015,2003
ADULT,7,0,West Portal,August,2015,2004
SENIOR,69,2,Noe Valley/Sally Brunn,May,2016,2003
ADULT,153,8,Mission,November,2015,2004
ADULT,2,0,Main Library,January,2016,2012
WELCOME,1,0,Main Library,January,2015,2015
YOUNG ADULT,604,275,Golden Gate Valley,October,2014,2003
ADULT,9,1,North Beach,July,2016,2016
JUVENILE,59,1,Excelsior,December,2015,2005
ADULT,68,0,Parkside,March,2016,2007
ADULT,3,3,Ingleside,September,2015,2015
ADULT,171,10,Park,February,2016,2006
WELCOME,0,0,Sunset,None,None,2016
SENIOR,35,5,Main Library,December,2010,2005
JUVENILE,10,0,Richmond,June,2016,2016
JUVENILE,234,2,Bernal Heights,July,2016,2010
ADULT,0,0,Mission Bay,None,None,2015
ADULT,0,0,Excelsior,None,None,2016
ADULT,2,0,Bayview/Linda Brooks-Burton,October,2015,2012
ADULT,0,0,Mission,None,None,2013
JUVENILE,27,7,Western Addition,March,2016,2015
ADULT,6,0,Ocean View,September,2010,2003
ADULT,12,0,Ingleside,August,2014,2009
ADULT,104,1,Richmond,July,2016,2004
ADULT,332,427,Main Library,May,2016,2003
ADULT,166,100,Main Library,December,2015,2003
JUVENILE,91,18,Portola,October,2013,2012
ADULT,237,32,Sunset,April,2016,2003
ADULT,28,24,Potrero,February,2016,2015
ADULT,7,0,Bernal Heights,March,2015,2010
ADULT,13,0,Main Library,May,2015,2013
ADULT,0,0,Excelsior,None,None,2015
JUVENILE,76,13,Glen Park,July,2016,2012
JUVENILE,669,10,Ingleside,July,2016,2012
ADULT,13,10,Western Addition,August,2011,2009
ADULT,0,0,Main Library,None,None,2015
ADULT,79,21,Main Library,December,2015,2013
YOUNG ADULT,513,7,Bernal Heights,December,2013,2005
ADULT,0,0,Glen Park,None,None,2011
ADULT,50,40,Main Library,February,2012,2003
ADULT,13,1,Portola,August,2014,2003
ADULT,25,6,Potrero,June,2016,2009
JUVENILE,62,3,West Portal,May,2016,2015
ADULT,43,38,Main Library,July,2016,2003
YOUNG ADULT,16,0,Eureka Valley/Harvey Milk Memorial,January,2014,2013
YOUNG ADULT,16,0,Ortega,March,2015,2004
YOUNG ADULT,22,0,Presidio,February,2014,2011
ADULT,23,0,Richmond,January,2014,2013
SENIOR,2413,3008,Eureka Valley/Harvey Milk Memorial,December,2014,2003
JUVENILE,614,172,Ortega,July,2016,2007
ADULT,0,0,Golden Gate Valley,None,None,2015
ADULT,0,0,Main Library,None,None,2016
ADULT,6,22,Main Library,April,2015,2011
ADULT,24,12,Main Library,July,2016,2015
ADULT,4,2,Golden Gate Valley,August,2013,2013
ADULT,134,19,Chinatown,September,2014,2013
SENIOR,728,435,Main Library,July,2016,2004
ADULT,98,13,Mission,December,2013,2012
ADULT,0,0,Main Library,None,None,2013
ADULT,0,0,Main Library,None,None,2013
JUVENILE,46,10,Ingleside,May,2016,2015
ADULT,1,0,Mission,August,2015,2014
SENIOR,752,27,Sunset,July,2016,2012
JUVENILE,64,1,Portola,January,2015,2013
JUVENILE,12,0,Presidio,December,2014,2014
ADULT,0,0,Main Library,February,2014,2014
ADULT,10,12,Anza,March,2016,2016
ADULT,2,0,Mission,June,2016,2014
ADULT,1065,13,Main Library,July,2016,2005
JUVENILE,46,39,Western Addition,June,2016,2012
JUVENILE,13,0,Mission Bay,December,2015,2015
YOUNG ADULT,0,0,Potrero,June,2015,2015
ADULT,3,0,North Beach,April,2015,2015
ADULT,8,0,Marina,November,2015,2013
SPECIAL,0,0,Children's Bookmobile,None,None,2015
JUVENILE,32,25,Glen Park,July,2014,2012
ADULT,29,10,Mission,March,2016,2010
TEACHER CARD,226,41,Mission,July,2016,2006
ADULT,12,0,Park,January,2016,2015
YOUNG ADULT,0,0,Main Library,None,None,2015
SENIOR,238,9,Mission Bay,July,2016,2009
JUVENILE,533,17,Portola,July,2016,2012
JUVENILE,103,46,Noe Valley/Sally Brunn,May,2015,2010
JUVENILE,7,0,Bayview/Linda Brooks-Burton,February,2016,2015
ADULT,5,10,Bayview/Linda Brooks-Burton,August,2014,2012
ADULT,17,19,Main Library,April,2016,2008
JUVENILE,16,5,Main Library,November,2014,2010
ADULT,102,34,Mission Bay,August,2014,2006
YOUNG ADULT,258,5,Bernal Heights,July,2014,2007
SENIOR,392,402,Chinatown,May,2016,2003
ADULT,0,0,Main Library,None,None,2015
ADULT,45,14,Main Library,September,2004,2003
ADULT,0,0,Main Library,None,None,2014
ADULT,241,197,Main Library,April,2013,2004
ADULT,0,0,Park,None,None,2016
DIGITAL ACCESS CARD,0,0,Mission Bay,None,None,2016
SENIOR,0,0,Golden Gate Valley,None,None,2013
ADULT,7,0,Excelsior,January,2013,2012
SENIOR,11,0,Main Library,May,2006,2003
YOUNG ADULT,100,64,Merced,July,2016,2012
ADULT,29,79,Eureka Valley/Harvey Milk Memorial,July,2016,2015
YOUNG ADULT,14,1,Mission,September,2014,2006
JUVENILE,0,0,Marina,October,2014,2014
ADULT,47,2,Presidio,November,2015,2014
DIGITAL ACCESS CARD,0,0,Potrero,None,None,2016
JUVENILE,135,23,Mission,July,2016,2013
ADULT,11,11,Richmond,February,2013,2011
SENIOR,680,742,Richmond,July,2016,2003
ADULT,6,6,Main Library,July,2016,2016
ADULT,157,68,Richmond,October,2013,2003
YOUNG ADULT,3,1,Eureka Valley/Harvey Milk Memorial,February,2014,2013
JUVENILE,0,0,Parkside,None,None,2016
ADULT,23,0,Main Library,March,2016,2003
ADULT,220,72,Mission,September,2012,2006
ADULT,9,13,Mission Bay,February,2014,2012
ADULT,2,0,Main Library,February,2005,2003
ADULT,0,0,Ocean View,None,None,2012
TEACHER CARD,0,0,Western Addition,None,None,2015
ADULT,88,33,Main Library,February,2015,2010
JUVENILE,0,0,Mission Bay,None,None,2014
ADULT,73,7,Parkside,March,2014,2003
YOUNG ADULT,4,0,Portola,March,2013,2013
SENIOR,139,9,Ortega,July,2016,2015
ADULT,17,29,Ingleside,May,2014,2014
ADULT,7,15,Main Library,August,2013,2013
ADULT,1,1,Excelsior,January,2013,2012
ADULT,135,38,Ortega,August,2012,2008
ADULT,0,0,Richmond,May,2016,2014
ADULT,137,5,Main Library,July,2016,2003
ADULT,0,0,Ingleside,None,None,2014
JUVENILE,43,4,Richmond,May,2016,2012
SENIOR,907,96,West Portal,September,2014,2003
ADULT,1775,319,Chinatown,December,2015,2003
SENIOR,153,101,Glen Park,December,2013,2010
ADULT,15,2,Main Library,January,2016,2015
JUVENILE,33,1,Ingleside,December,2015,2014
ADULT,15,12,Mission Bay,February,2016,2015
ADULT,762,267,Western Addition,July,2016,2009
ADULT,0,0,Main Library,None,None,2014
ADULT,0,0,Sunset,None,None,2014
ADULT,8,6,Ortega,August,2015,2012
SENIOR,117,15,Richmond,September,2013,2009
ADULT,34,0,Mission,July,2014,2011
ADULT,15,0,Main Library,April,2014,2013
ADULT,235,190,Richmond,November,2015,2008
ADULT,1624,159,West Portal,July,2016,2003
JUVENILE,559,11,Ortega,July,2016,2009
ADULT,1,1,North Beach,August,2012,2011
YOUNG ADULT,4338,349,Ingleside,July,2016,2003
JUVENILE,0,0,Mission,None,None,2015
ADULT,187,125,Main Library,January,2014,2003
JUVENILE,37,37,Sunset,June,2016,2016
ADULT,38,92,Main Library,April,2013,2008
JUVENILE,74,69,Anza,April,2015,2011
ADULT,26,44,Marina,March,2014,2009
RETIRED STAFF,648,220,Main Library,July,2016,2003
JUVENILE,11,0,Mission,October,2015,2015
ADULT,291,170,West Portal,October,2015,2008
JUVENILE,128,13,Noe Valley/Sally Brunn,March,2016,2014
YOUNG ADULT,862,706,Anza,July,2016,2007
ADULT,18,19,Chinatown,July,2016,2015
ADULT,0,0,Main Library,None,None,2014
