Patron Type Definition,Total Checkouts,Total Renewals,Home Library Definition,Circulation Active Month,Circulation Active Year,Year Patron Registered
ADULT,6,0,Eureka Valley/Harvey Milk Memorial,October,2013,2010
DIGITAL ACCESS CARD,0,0,Main Library,None,None,2016
YOUNG ADULT,35,2,Ingleside,January,2014,2013
ADULT,93,5,Main Library,September,2014,2003
ADULT,3,1,Western Addition,April,2015,2014
ADULT,2,1,Anza,April,2014,2007
SENIOR,194,106,Main Library,June,2015,2003
YOUNG ADULT,4,0,Presidio,March,2013,2012
JUVENILE,222,4,Potrero,March,2016,2011
ADULT,12,5,Bayview/Linda Brooks-Burton,January,2015,2013
ADULT,105,5,Richmond,December,2015,2014
ADULT,1468,206,Anza,July,2016,2003
ADULT,3,7,Main Library,May,2015,2014
ADULT,1,0,Mission,December,2009,2009
ADULT,64,26,Mission,January,2014,2003
ADULT,0,0,Glen Park,None,None,2015
ADULT,4,1,North Beach,May,2015,2015
ADULT,30,63,Portola,October,2015,2015
ADULT,18,0,Mission Bay,April,2013,2013
ADULT,13,3,Ortega,July,2016,2013
SENIOR,1,1,Main Library,November,2012,2012
JUVENILE,166,8,Western Addition,July,2016,2008
JUVENILE,139,1,Main Library,June,2016,2008
JUVENILE,4,0,Glen Park,June,2015,2013
ADULT,29,13,Marina,October,2004,2003
ADULT,3,0,Main Library,May,2014,2010
ADULT,41,51,Noe Valley/Sally Brunn,April,2016,2014
WELCOME,1,0,Main Library,March,2015,2014
ADULT,0,0,West Portal,None,None,2015
ADULT,0,0,Main Library,None,None,2014
YOUNG ADULT,741,254,Ingleside,June,2016,2003
ADULT,178,94,Eureka Valley/Harvey Milk Memorial,August,2014,2003
ADULT,98,8,Marina,December,2015,2013
ADULT,150,10,Noe Valley/Sally Brunn,October,2014,2003
TEACHER CARD,73,53,Sunset,July,2016,2015
ADULT,218,52,Mission,December,2013,2006
ADULT,60,35,Sunset,July,2015,2003
ADULT,2,0,North Beach,March,2014,2014
ADULT,74,2,Ocean View,January,2015,2006
JUVENILE,411,200,Richmond,August,2013,2012
JUVENILE,23,0,Richmond,November,2013,2010
ADULT,0,0,Noe Valley/Sally Brunn,None,None,2012
JUVENILE,11,0,West Portal,January,2016,2013
ADULT,199,33,Potrero,July,2016,2006
WELCOME,0,0,Ingleside,None,None,2015
ADULT,1183,388,Visitacion Valley,May,2015,2003
ADULT,15,1,Excelsior,February,2016,2013
ADULT,0,0,Glen Park,None,None,2014
ADULT,3,6,Main Library,July,2016,2016
ADULT,24,0,Main Library,September,2009,2003
ADULT,60,11,Chinatown,May,2016,2013
ADULT,4,5,Sunset,June,2015,2015
ADULT,1,0,Main Library,June,2016,2016
ADULT,1297,482,Western Addition,May,2015,2003
ADULT,0,0,West Portal,None,None,2009
ADULT,1,0,Marina,September,2014,2013
ADULT,85,151,West Portal,May,2011,2007
JUVENILE,0,0,Main Library,None,None,2014
JUVENILE,0,0,Parkside,None,None,2016
ADULT,0,0,Bayview/Linda Brooks-Burton,None,None,2013
ADULT,122,52,Merced,April,2016,2012
ADULT,284,9,Chinatown,July,2013,2004
ADULT,19,2,Main Library,December,2014,2006
WELCOME,1,0,Main Library,September,2014,2014
JUVENILE,26,0,Chinatown,May,2016,2013
JUVENILE,54,3,Ortega,June,2016,2012
SENIOR,302,4,Chinatown,November,2015,2008
JUVENILE,420,476,Potrero,July,2016,2010
ADULT,177,80,Chinatown,April,2014,2008
ADULT,0,0,Main Library,January,2015,2015
ADULT,2,0,Main Library,March,2013,2013
ADULT,0,0,Excelsior,None,None,2016
ADULT,68,0,Visitacion Valley,January,2009,2006
JUVENILE,201,15,Parkside,February,2016,2014
SENIOR,576,176,Ortega,July,2016,2003
JUVENILE,33,3,Richmond,December,2014,2010
SENIOR,113,0,Merced,July,2014,2003
JUVENILE,11,0,Portola,May,2015,2013
JUVENILE,4,0,Excelsior,August,2013,2013
ADULT,165,116,Ingleside,March,2016,2003
SENIOR,14,0,Park,January,2014,2012
ADULT,508,538,Visitacion Valley,June,2016,2003
